"party_label","year","theme","mean_theme_count","mean_relative_freq","total_mentions"
"AfD","2013","EU",3.2,0.0296719332709772,16
"CDU/CSU","2013","EU",2.77319587628866,0.0200118565385648,269
"AfD","2017","EU",2.46153846153846,0.0171060314327047,96
"CDU/CSU","2017","EU",2.30769230769231,0.0165132483089471,120
"AfD","2021","EU",2.57746478873239,0.0241259037635258,183
"CDU/CSU","2021","EU",3.26271186440678,0.0226542025595709,385
"AfD","2025","EU",2.49315068493151,0.0181663877676331,182
"CDU/CSU","2025","EU",2.39189189189189,0.0229852592850858,177
"AfD","2013","Innere_Sicherheit",1.5,0.014675697865353,3
"CDU/CSU","2013","Innere_Sicherheit",1.71084337349398,0.0126870040046208,142
"AfD","2017","Innere_Sicherheit",1.76470588235294,0.0132082522353041,60
"CDU/CSU","2017","Innere_Sicherheit",2.06976744186047,0.0154731575328877,89
"AfD","2021","Innere_Sicherheit",1.71698113207547,0.023047518991257,91
"CDU/CSU","2021","Innere_Sicherheit",1.81578947368421,0.014008353938809,207
"AfD","2025","Innere_Sicherheit",1.55696202531646,0.0119190815465477,123
"CDU/CSU","2025","Innere_Sicherheit",1.66666666666667,0.0159865871094418,110
"AfD","2013","Migration_Asyl",4,0.0459770114942529,4
"CDU/CSU","2013","Migration_Asyl",1.51851851851852,0.0109408908095503,41
"AfD","2017","Migration_Asyl",2.31578947368421,0.0171768534906893,44
"CDU/CSU","2017","Migration_Asyl",1.44444444444444,0.00984173462075532,26
"AfD","2021","Migration_Asyl",2.61764705882353,0.0351689253676172,89
"CDU/CSU","2021","Migration_Asyl",1.62162162162162,0.011533377766719,60
"AfD","2025","Migration_Asyl",2.05555555555556,0.0141817407848923,74
"CDU/CSU","2025","Migration_Asyl",1.58333333333333,0.0159137913298183,38
"AfD","2013","Wirtschaft",1,0.00980093046963353,3
"CDU/CSU","2013","Wirtschaft",2.42592592592593,0.0175590782314437,393
"AfD","2017","Wirtschaft",1.65789473684211,0.0154768068252296,63
"CDU/CSU","2017","Wirtschaft",2.36,0.0176869759995689,177
"AfD","2021","Wirtschaft",1.53246753246753,0.0196987875149607,118
"CDU/CSU","2021","Wirtschaft",2.0314465408805,0.0154342918585245,323
"AfD","2025","Wirtschaft",1.85897435897436,0.0158887801748432,145
"CDU/CSU","2025","Wirtschaft",1.89795918367347,0.0201514610347037,186
