"theme","word","n"
"EU","eu",353
"EU","europa",315
"EU","europäischen",250
"EU","euro",176
"EU","europäische",149
"EU","union",115
"EU","mitgliedstaaten",44
"EU","binnenmarkt",13
"EU","europäisch",7
"EU","brüssel",6
"Innere_Sicherheit","sicherheit",245
"Innere_Sicherheit","schutz",165
"Innere_Sicherheit","recht",104
"Innere_Sicherheit","kriminalität",50
"Innere_Sicherheit","gewalt",46
"Innere_Sicherheit","polizei",42
"Innere_Sicherheit","kontrolle",29
"Innere_Sicherheit","terrorismus",28
"Innere_Sicherheit","ordnung",27
"Innere_Sicherheit","rechtsstaat",24
"Innere_Sicherheit","extremismus",22
"Innere_Sicherheit","terror",20
"Innere_Sicherheit","innere",16
"Innere_Sicherheit","überwachung",7
"Migration_Asyl","integration",78
"Migration_Asyl","migration",49
"Migration_Asyl","zuwanderung",45
"Migration_Asyl","grenzen",44
"Migration_Asyl","asyl",26
"Migration_Asyl","asylbewerber",26
"Migration_Asyl","einwanderung",20
"Migration_Asyl","migranten",20
"Migration_Asyl","abschiebung",17
"Migration_Asyl","grenze",16
"Migration_Asyl","flüchtlinge",14
"Migration_Asyl","abschiebungen",8
"Migration_Asyl","asylrecht",8
"Migration_Asyl","asylbewerbern",4
"Migration_Asyl","migrant",1
"Wirtschaft","unternehmen",244
"Wirtschaft","wirtschaft",178
"Wirtschaft","forschung",132
"Wirtschaft","arbeit",127
"Wirtschaft","digitalisierung",121
"Wirtschaft","wohlstand",115
"Wirtschaft","arbeitsplätze",109
"Wirtschaft","investitionen",80
"Wirtschaft","wachstum",67
"Wirtschaft","steuern",62
"Wirtschaft","industrie",53
"Wirtschaft","mittelstand",49
"Wirtschaft","markt",28
"Wirtschaft","steuer",23
"Wirtschaft","innovation",18
